
INFO 	2016-06-03 17:40:25 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-06-03 17:40:25 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/gencode/gencode.v24.annotation.gtf
INFO 	2016-06-03 17:40:25 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-03 17:40:25 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-03 17:40:25 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_019_01_01_rnaseq/quantifications/featurecounts/hg38_mmtv/paired_end
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	total fragments = 51236595
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	percentage fragments assigned = 52.95042342294604081321
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	percentage fragments ambiguous = 1.32829084368311360268
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	percentage fragments multi-mapping = 31.60350331633083736341
INFO 	2016-06-03 18:00:37 	[quantification_featurecounts] 	percentage fragments no features = 14.11778241704000822068
TIME 	2016-06-03 18:00:42 	[quantification_featurecounts] 	step time for completion (seconds) = 1217


INFO 	2016-06-03 18:00:43 	[pipeline] 	completed successfully
TIME 	2016-06-03 18:00:43 	[pipeline] 	total time for completion (seconds) = 1239

