
INFO 	2016-06-20 09:42:34 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-06-20 09:42:34 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg19/gencode/gencode.v19.annotation.gtf
INFO 	2016-06-20 09:42:34 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-20 09:42:34 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-20 09:42:34 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_02_01_chrrnaseq/quantifications/featurecounts/hg19/paired_end
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	total fragments = 233677838
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	percentage fragments assigned = .49535335053895868379
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	percentage fragments ambiguous = .03334291375975500081
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	percentage fragments multi-mapping = 87.94390934068809725978
INFO 	2016-06-20 10:59:24 	[quantification_featurecounts] 	percentage fragments no features = 11.52739439501318905560
TIME 	2016-06-20 10:59:52 	[quantification_featurecounts] 	step time for completion (seconds) = 4638


INFO 	2016-06-20 10:59:54 	[pipeline] 	completed successfully
TIME 	2016-06-20 10:59:54 	[pipeline] 	total time for completion (seconds) = 4654

