
INFO 	2016-06-20 09:43:00 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto, version 0.42.5
INFO 	2016-06-20 09:43:01 	[quantification_kallisto] 	using /users/GR/mb/jquilez/assemblies/homo_sapiens/hg19/kallisto_index/kallisto_homo_sapiens_hg19_ensGene.index as transcriptome reference
INFO 	2016-06-20 09:43:01 	[quantification_kallisto] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-20 09:43:01 	[quantification_kallisto] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-20 09:43:01 	[quantification_kallisto] 	sequence based bias correction is only applied to single-end data, as it fails for paired-end
INFO 	2016-06-20 09:43:01 	[quantification_kallisto] 	for paired-end data, the fragment length average and standard deviation are inferred from the data
INFO 	2016-06-20 10:13:04 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_02_01_chrrnaseq/quantifications/kallisto/hg19/paired_end
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	parse step log to extract generated metadata
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	number transcripts quantified = 204940
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	number reads processed = 130567866
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	percentage reads pseudoaligned = 84.24014067902434738421
INFO 	2016-06-20 10:14:11 	[quantification_kallisto] 	estimated average fragment length (bp) = 192.056
TIME 	2016-06-20 10:14:21 	[quantification_kallisto] 	step time for completion (seconds) = 1881


INFO 	2016-06-20 10:14:22 	[pipeline] 	completed successfully
TIME 	2016-06-20 10:14:22 	[pipeline] 	total time for completion (seconds) = 1899

