
INFO 	2016-06-03 17:40:27 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-06-03 17:40:27 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/gencode/gencode.v24.annotation.gtf
INFO 	2016-06-03 17:40:27 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-03 17:40:27 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-03 17:40:27 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-06-03 17:51:48 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_016_01_01_rnaseq/quantifications/featurecounts/hg38_mmtv/paired_end
INFO 	2016-06-03 17:51:48 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-06-03 17:51:49 	[quantification_featurecounts] 	total fragments = 31187040
INFO 	2016-06-03 17:51:49 	[quantification_featurecounts] 	percentage fragments assigned = 73.08580423150129027955
INFO 	2016-06-03 17:51:49 	[quantification_featurecounts] 	percentage fragments ambiguous = 1.90421726460734971962
INFO 	2016-06-03 17:51:49 	[quantification_featurecounts] 	percentage fragments multi-mapping = 13.80352223231188339771
INFO 	2016-06-03 17:51:49 	[quantification_featurecounts] 	percentage fragments no features = 11.20645627157947660310
TIME 	2016-06-03 17:51:58 	[quantification_featurecounts] 	step time for completion (seconds) = 691


INFO 	2016-06-03 17:52:00 	[pipeline] 	completed successfully
TIME 	2016-06-03 17:52:00 	[pipeline] 	total time for completion (seconds) = 716

