
INFO 	2016-04-08 10:45:49 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-04-08 10:45:49 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-04-08 10:45:49 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-04-08 11:51:29 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-04-08 11:51:29 	[trim_reads_trimmomatic] 	reads after trimming = 193128921
INFO 	2016-04-08 11:51:29 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_01_01_chrrnaseq/fastqs_processed/trimmomatic/paired_end
INFO 	2016-04-08 11:51:29 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-04-08 11:51:30 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3941

INFO 	2016-04-08 11:51:30 	[align_star] 	align trimmed single-end reads with STAR (version = STAR_2.4.0j)
INFO 	2016-04-08 11:51:30 	[align_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-04-08 13:24:01 	[align_star] 	alignments are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_01_01_chrrnaseq/alignments/star/hg19/paired_end
INFO 	2016-04-08 13:24:01 	[align_star] 	parse step log to extract generated metadata
INFO 	2016-04-08 13:24:01 	[align_star] 	uniquely mapped reads (number) = 105926092
INFO 	2016-04-08 13:24:01 	[align_star] 	uniquely mapped reads (percentage) = 54.85
INFO 	2016-04-08 13:24:01 	[align_star] 	accepted multi-mappings (number) = 23285007
INFO 	2016-04-08 13:24:01 	[align_star] 	accepted multi-mappings (percentage) = 12.06
INFO 	2016-04-08 13:24:01 	[align_star] 	splices (number) = 565199
TIME 	2016-04-08 13:24:01 	[align_star] 	step time for completion (seconds) = 5551

INFO 	2016-04-08 13:24:01 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-04-08 13:24:01 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg19/gencode/gencode.v19.annotation.gtf
INFO 	2016-04-08 13:24:01 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-04-08 13:24:01 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-04-08 13:24:01 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_01_01_chrrnaseq/quantifications/featurecounts/hg19/paired_end
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	assigned = 2658685
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	ambiguous = 47388
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	multi-mapping = 107146123
INFO 	2016-04-08 14:47:23 	[quantification_featurecounts] 	no features = 103220019
TIME 	2016-04-08 14:47:23 	[quantification_featurecounts] 	step time for completion (seconds) = 5002

INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	using /users/GR/mb/jquilez/assemblies/homo_sapiens/hg19/kallisto_index/kallisto_homo_sapiens_hg19_ensGene.index as transcriptome reference
INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	sequence based bias correction is only applied to single-end data, as it fails for paired-end
INFO 	2016-04-08 14:47:23 	[quantification_kallisto] 	for paired-end data, the fragment length average and standard deviation are inferred from the data
INFO 	2016-04-08 15:48:17 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-04-08 15:49:29 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_01_01_chrrnaseq/quantifications/kallisto/hg19/paired_end
INFO 	2016-04-08 15:49:29 	[quantification_kallisto] 	parse step log to extract generated metadata
INFO 	2016-04-08 15:49:29 	[quantification_kallisto] 	transcripts quantified (number) = 204940
INFO 	2016-04-08 15:49:29 	[quantification_kallisto] 	reads pseudoaligned (number) = 49104248
TIME 	2016-04-08 15:49:29 	[quantification_kallisto] 	step time for completion (seconds) = 3726

INFO 	2016-04-08 15:49:29 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-04-08 15:49:29 	[make_profiles] 	filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-04-08 16:48:43 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-04-08 17:19:10 	[make_profiles] 	profiles are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_001_01_01_chrrnaseq/profiles/hg19/paired_end
INFO 	2016-04-08 17:19:10 	[make_profiles] 	delete intermediate BED
TIME 	2016-04-08 17:19:12 	[make_profiles] 	step time for completion (seconds) = 5383


